company_name,date_first_certified,date_certified,current_status,description,industry,industry_category,products_and_services,country,state,city,sector,size,b_corp_profile,website,assessment_year,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,geom,specific,lat,long
Vancity Community Investment Bank,2018-02-13,2018-02-13,certified,"VCIB is a nationally-focused subsidiary of Vancity Credit Union, a BC-based financial co-operative that uses its assets to improve the financial well-being of its members and help build healthy communities.",Credit Provider,Financial Services,VCIB provides debt financing and advisory services to social enterprises.,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/vancity-community-investment-bank,www.vancitycommunityinvestmentbank.ca,2017,89.7,18.1,14.1,10.9,11.8,33.3,"{'lat': 43.644175, 'lng': -79.4022042}",1,43.644175,-79.4022042
PenFinancial Credit Union Limited,2019-01-30,2019-01-30,certified,"A truly local Niagara based financial co-operative serving 20,000 members and businesses through eight branches serving Niagara and Haldimand. For more information please visit their Truly Local Hub at www.penfi.ca",Other,Financial Services,"Financial products and services, including wealth and commercial.",Canada,Ontario,Welland,Service with Minor Environmental Footprint, 50-249,bcorporation.net/directory/pen-financial-credit-union-limited,www.penfinancial.com,2018,109.3,36.4,13.2,2.2,19.6,37.7,"{'lat': 43.1556225, 'lng': -79.2729631}",1,43.1556225,-79.2729631
Ian Martin Group,2012-01-09,2019-03-01,certified,"Founded by engineers to support the needs of the industry, the Ian Martin Group has been family owned and 100% Canadian since 1957. They specialize in Engineering & Technical, Information Technology and Telecom recruiting and hiring technology to help organizations of all sizes ""hire better.""
 
Fitzii helps small and medium businesses hire effectively by combining leading-edge technology with personality/culture/skills assessments to help match more people with Meaningful Work.",HR Consulting & Recruiting,Business Products & Services,Technical Recruiting and Hiring Technology,Canada,Ontario,Oakville,Service with Minor Environmental Footprint, 50-249,bcorporation.net/directory/ian-martin-group,ianmartin.com,2018,109.8,41.8,0.0,11.3,22.0,34.6,"{'lat': 43.4665765, 'lng': -79.67689879999999}",1,43.4665765,-79.67689879999999
Oliberte Limited,2012-06-20,2020-04-28,certified,"Oliberté is a Canadian premium leather goods company that sources its materials from and manufactures in Africa, creating and maintaining sustainable jobs. Established in 2009 with the intent to tap into the bustling fashion scene with high quality footwear and bags, Oliberté strives to prove that doing things differently is worthwhile (and good looking, to boot). Along the way, Oliberté is also mindful of the environment: the rubber used for soles is natural and the leather of the bags and footwear is hormone-free and free-range. Shoes that do.","Apparel, Footwear & Accessories",Consumer Products & Services,"Footwear, Bags",Canada,Ontario,Oakville,Wholesale/Retail, 1-9,bcorporation.net/directory/oliberte-limited,oliberte.com,2019,80.6,19.9,3.4,19.1,14.7,23.2,"{'lat': 43.4286135, 'lng': -79.7062878}",1,43.4286135,-79.7062878
Good Food for Good Inc.,2018-06-28,2018-06-28,certified,"Good Food For Good is an organic food company committed to making it easy for you to eat healthy while helping someone in need. Our food is hand-made using organic ingredients and free from allergens, refined sugar and preservatives. That’s not all, every time you buy our products, we donate money to feed someone in need. Our offering includes ketchup, BBQ sauces, fresh cooking sauces and turmeric tea. Our products are available across Canada and US and are sold under brand names Good Food For Good and Turmeric Teas.

The company was founded by Richa Gupta, a marketer and mother of a 9 year old girl. As a working mother, Richa found it very challenging to find packaged food and prepared shortcuts that met her expectations for taste and ingredient quality. Frustrated with being forced to compromise quality for convenience, Richa launched Good Foor For Good to make it easy for every one to eat well and do good. Inspired by TOMS Shoes, Richa adopted the Buy One Feed One model for her food business. Richa is proud to have made a positive difference in over 80,000 meals and is actively working on reaching her goal of feeding 1 million people by 2020.",Food & Beverage,Consumer Products & Services,"Organic Ketchup, BBQ Sauces, Fresh Cooking Sauces and Turmeric Tea",Canada,Ontario,Toronto,Manufacturing, 1-9,bcorporation.net/directory/good-food-good-inc,www.goodfoodforgood.ca,2018,88.0,42.4,0.0,18.2,7.4,19.9,"{'lat': 45.1377, 'lng': -76.1429}",1,45.1377,-76.1429
AccertaClaim Servicorp Inc.,2017-01-24,2017-01-24,certified,AccertaClaim Servicorp Inc.'s focus and expertise is the management of government sponsored benefit plans. They manage government sponsored benefit plans for provincial and municipal governments as well as Children's Aid Societies. These government sponsored benefit plans reflect,Health Insurance,Health & Human Services,Claims Benefit Management,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/accertaclaim-servicorp-inc,www.accerta.ca,2016,93.0,19.8,27.7,6.8,13.3,25.4,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
Rally Assets,2012-01-10,2018-08-20,certified,"Rally Assets (formerly Purpose Capital) is a full-service impact investment firm. We provide tailored impact investing solutions that align our clients’ investments with their values. Deploying a total portfolio approach to integrate social and environmental impact across all asset classes, we empower our clients to achieve their financial and impact goals.",Other,Financial Services,Impact Investment Advisory,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/purpose-capital,www.rallyassets.com,2018,97.6,24.0,26.6,6.0,12.0,28.8,"{'lat': 43.6486763, 'lng': -79.38412760000001}",1,43.6486763,-79.38412760000001
Flow Office Wisdom,2015-07-02,2017-07-25,certified,"Supporting a movement. Changing the world one organization at a time.
 
There are so many amazing, innovative, smart and creative people in the world who are focussing on what can be done to build a sustainable, vibrant and abundant world for all; so FLOW decided not to pick a single project but to instead support the great work and ideas already taking root.
 
In short, FLOW can affect the greatest amount of change in the world by providing all the essential back office services needed to support the growth and development of B Corps and all kinds of socially and environmentally focussed organizations and businesses. FLOW Office Wisdom holds tightly to their core values (Transformation, Awareness, Courage, Enthusiasm, and Connection) and they encourage their clients to maintain focus on their ""why"".
 
As a team, FLOW represents a full range of administrative and back office skills: Bookkeeping, Project Management, Event Planning, Written Communications, Websites, Human Resources, Design, Marketing and Promotion and more…",Other,Business Products & Services,Business Administration Services,Canada,Ontario,Guelph,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/flow-office-wisdom,www.flowofficewisdom.com,2017,94.1,40.1,6.8,1.2,13.3,32.7,"{'lat': 43.5292932, 'lng': -80.2559799}",1,43.5292932,-80.2559799
Vox Pop Labs,2017-04-19,2017-04-19,certified,Vox Pop Labs develops online spaces for civic expression and democratic participation.,Other,Media,Civic engagement applications; data analytics,Canada,Ontario,Hamilton,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/vox-pop-labs,www.voxpoplabs.com,2016,90.4,18.8,28.9,4.4,13.7,24.6,"{'lat': 43.654478, 'lng': -79.422136}",1,43.654478,-79.422136
Paintbox Catering and Bistro Inc.,2013-03-14,2017-07-18,certified,"Paintbox offers complete catering and event design throughout the greater Toronto area. Featuring style, flair & impeccable service.
They intend to become a model to others in the food service industry for social justice, profitability and environmental sustainability.

Their Mission:
1. Healthy, delicious food that supports a sustainable food economy
2. Quality education and career opportunities that build confidence
3. Great customer and employee experiences that create a sense of community",Restaurant,"Restaurant, Hospitality & Travel",Catering & Event Design | Event Production | Vegetarian Restaurant,Canada,Ontario,Toronto,Wholesale/Retail, 10-49,bcorporation.net/directory/paintbox-catering-and-bistro-inc,www.paintboxcatering.ca,2017,120.3,72.0,0.0,16.1,14.4,17.8,"{'lat': 43.65995460000001, 'lng': -79.3627446}",1,43.65995460000001,-79.3627446
Ecotone Software Consulting Inc.,2016-11-14,2020-01-24,certified,Ecotone Software Consulting offers a boutique set of software-related services helping clients with CRM and integrated sustainability reporting.,IT Software & Services/Web Design,Business Products & Services,"Software Consulting focusing on sustainability, ERP, and CRM systems",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/ecotone-software-consulting-inc,www.ecotonesoftware.com,2019,81.3,39.8,5.6,13.1,22.7,,"{'lat': 43.6559304, 'lng': -79.3995704}",1,43.6559304,-79.3995704
